,text
156,heading to helsinki finland – looking forward to meeting with president putin tomorrow. unfortunately no matter how well i do at the summit if i was given the great city of moscow as retribution for all of the sins and evils committed by russia...
157,these russian individuals did their work during the obama years. why didn’t obama do something about it? because he thought crooked hillary clinton would win that’s why. had nothing to do with the trump administration but fake news doesn’t want to report the truth as usual!
158,the stories you heard about the russians yesterday took place during the obama administration not the trump administration. why didn’t they do something about it especially when it was reported that president obama was informed by the fbi in september before the election?
159,the stories you heard about the russians yesterday took place during the obama administration not the trump administrations. why didn’t they do something about it especially when it was reported that president obama was informed by the fbi in september before the election?
160,....on top of it all germany just started paying russia the country they want protection from billions of dollars for their energy needs coming out of a new pipeline from russia. not acceptable! all nato nations must meet their % commitment and that must ultimately go to %!
161,presidents have been trying unsuccessfully for years to get germany and other rich nato nations to pay more toward their protection from russia. they pay only a fraction of their cost. the u.s. pays tens of billions of dollars too much to subsidize europe and loses big on trade!
162,billions of additional dollars are being spent by nato countries since my visit last year at my request but it isn’t nearly enough. u.s. spends too much. europe’s borders are bad! pipeline dollars to russia are not acceptable!
163,what good is nato if germany is paying russia billions of dollars for gas and energy? why are there only out of countries that have met their commitment? the u.s. is paying for europe’s protection then loses billions on trade. must pay % of gdp immediately not by .
164,what good is nato if germany is paying russia billions of dollars for gas and energy? why are their only out of countries that have met their commitment? the u.s. is paying for europe’s protection then loses billions on trade. must pay % of gdp immediately not by .
165,public opinion has turned strongly against the rigged witch hunt and the “special” counsel because the public understands that there was no collusion with russia (so ridiculous) that the two fbi lovers were a fraud against our nation &amp; that the only collusion was with the dems!
166,public opinion has turned strongly against the rigged witch hunt and the “special” councel because the public understands that there was no collusion with russia (so ridiculous) that the two fbi lovers were a fraud against our nation &amp; that the only collusion was with the dems!
167,just won lawsuit filed by the dnc and a bunch of democrat crazies trying to claim the trump campaign (and others) colluded with russia. they haven’t figured out that this was an excuse for them losing the election!
168,russia continues to say they had nothing to do with meddling in our election! where is the dnc server and why didn’t shady james comey and the now disgraced fbi agents take and closely examine it? why isn’t hillary/russia being looked at? so many questions so much corruption!
169,major wall street journal opinion piece today talking about the russian witch hunt and the disgrace that it is. so many people hurt so bad for our country - a total sham!
170,the russian witch hunt is rigged!
171,.@foxnews poll numbers plummet on the democrat inspired and paid for russian witch hunt. with all of the bias lying and hate by the investigators people want the investigators investigated. much more will come out. a total scam and excuse for the dems losing the election!
172,witch hunt! there was no russian collusion. oh i see there was no russian collusion so now they look for obstruction on the no russian collusion. the phony russian collusion was a made up hoax. too bad they didn’t look at crooked hillary like this. double standard!
173,fbi agent peter strzok who headed the clinton &amp; russia investigations texted to his lover lisa page in the ig report that “we’ll stop” candidate trump from becoming president. doesn’t get any lower than that!
174,so the democrats make up a phony crime collusion with the russians pay a fortune to make the crime sound real illegally leak (comey) classified information so that a special councel will be appointed and then collude to make this pile of garbage take on life in fake news!
175,i am heading for canada and the g- for talks that will mostly center on the long time unfair trade practiced against the united states. from there i go to singapore and talks with north korea on denuclearization. won’t be talking about the russian witch hunt hoax for a while!
176,the russian witch hunt hoax continues all because jeff sessions didn’t tell me he was going to recuse himself...i would have quickly picked someone else. so much time and money wasted so many lives ruined...and sessions knew better than most that there was no collusion!
177,the fake news media is desperate to distract from the economy and record setting economic numbers and so they keep talking about the phony russian witch hunt.
178,there was no collusion with russia (except by the democrats). when will this very expensive witch hunt hoax ever end? so bad for our country. is the special counsel/justice department leaking my lawyers letters to the fake news media? should be looking at dems corruption instead?
179,there was no collusion with russia (except by the democrats). when will this very expensive witch hunt hoax ever end? so bad for our country. is the special councel/justice department leaking my lawyers letters to the fake news media? should be looking at dems corruption instead?
180,....“$ million spent it’s a scam investigation. americans are being worked. we now know there was russian collusion with russians and the democrats. the mueller team is stacked with anti-trumpers who actually represented clinton people (&amp; gave $’s to crooked h).” dan bongino
181,a.p. has just reported that the russian hoax investigation has now cost our government over $ million and going up fast. no collusion except by the democrats!
182,not that it matters but i never fired james comey because of russia! the corrupt mainstream media loves to keep pushing that narrative but they know it is not true!
183,rush limbaugh “if the fbi was so concerned and if they weren’t targeting trump they should have told trump. if they were really concerned about the russians infiltrating a campaign (hoax) then why not try to stop it? why not tell trump? because they were pushing this scam.”
184,the soon to be released book “the russia hoax the illicit scheme to clear hillary clinton and frame donald trump” written by gregg jarrett looks like a real deal big hit. the phony witch hunt will be opened up for the world to see! out in weeks.
185,sorry i’ve got to start focusing my energy on north korea nuclear bad trade deals va choice the economy rebuilding the military and so much more and not on the rigged russia witch hunt that should be investigating clinton/russia/fbi/justice/obama/comey/lynch etc.
186,the angry democrats (plus people who worked years for obama) working on the rigged russia witch hunt will be meddling with the mid-term elections especially now that republicans (stay tough!) are taking the lead in polls. there was no collusion except by the democrats!
187,why didn’t president obama do something about the so-called russian meddling when he was told about it by the fbi before the election? because he thought crooked hillary was going to win and he didn’t want to upset the apple cart! he was in charge not me and did nothing.
188,why didn’t the angry democrats investigate the campaign of crooked hillary clinton many crimes much collusion with russia? why didn’t the fbi take the server from the dnc? rigged investigation!
189,who’s going to give back the young and beautiful lives (and others) that have been devastated and destroyed by the phony russia collusion witch hunt? they journeyed down to washington d.c. with stars in their eyes and wanting to help our nation...they went back home in tatters!
190,when will the angry democrats (&amp; those who worked for president o) reveal their disqualifying conflicts of interest? it’s been a long time now! will they be indelibly written into the report along with the fact that the only collusion is with the dems justice fbi &amp; russia?
191,this whole russia probe is rigged. just an excuse as to why the dems and crooked hillary lost the election and states that haven’t been lost in decades. angry democrats and all dems if you include the people who worked for obama for years. #spygate &amp; conflicts of interest!
192,with spies or “informants” as the democrats like to call them because it sounds less sinister (but it’s not) all over my campaign even from a very early date why didn’t the crooked highest levels of the fbi or “justice” contact me to tell me of the phony russia problem?
193,the democrats are now alluding to the the concept that having an informant placed in an opposing party’s campaign is different than having a spy as illegal as that may be. but what about an “informant” who is paid a fortune and who “sets up” way earlier than the russian hoax?
194,look how things have turned around on the criminal deep state. they go after phony collusion with russia a made up scam and end up getting caught in a major spy scandal the likes of which this country may never have seen before! what goes around comes around!
195,...follow the money! the spy was there early in the campaign and yet never reported collusion with russia because there was no collusion. he was only there to spy for political reasons and to help crooked hillary win - just like they did to bernie sanders who got duped!
196,the witch hunt finds no collusion with russia - so now they’re looking at the rest of the world. oh’ great!
197,now that the witch hunt has given up on russia and is looking at the rest of the world they should easily be able to take it into the mid-term elections where they can put some hurt on the republican party. don’t worry about dems fisa abuse missing emails or fraudulent dossier!
198,....at what point does this soon to be $ witch hunt composed of angry and heavily conflicted democrats and two people who have worked for obama for years stop! they have found no collussion with russia no obstruction but they aren’t looking at the corruption...
199,things are really getting ridiculous. the failing and crooked (but not as crooked as hillary clinton) has done a long &amp; boring story indicating that the world’s most expensive witch hunt has found nothing on russia &amp; me so now they are looking at the rest of the world!
200,reports are there was indeed at least one fbi representative implanted for political purposes into my campaign for president. it took place very early on and long before the phony russia hoax became a “hot” fake news story. if true - all time biggest political scandal!
201,can you believe that with all of the made up unsourced stories i get from the fake news media together with the $ russian witch hunt (there is no collusion) i now have my best poll numbers in a year. much of the media may be corrupt but the people truly get it!
202,the angry democrats in charge of the russian witch hunt are starting to find out that there is a court system in place that actually protects people from injustice...and just wait ‘till the courts get to see your unrevealed conflicts of interest!
203,the russia witch hunt is rapidly losing credibility. house intelligence committee found no collusion coordination or anything else with russia. so now the probe says ok what else is there? how about obstruction for a made up phony crime.there is no o it’s called fighting back
204,“this isn’t some game. you are screwing with the work of the president of the united states.” john dowd march . with north korea china the middle east and so much more there is not much time to be thinking about this especially since there was no russian “collusion.”
205,new book - a must read! “the russia hoax - the illicit scheme to clear hillary clinton and frame donald trump” by the brilliant fox news legal analyst gregg jarrett. a sad chapter for law enforcement. a rigged system!
206,so disgraceful that the questions concerning the russian witch hunt were “leaked” to the media. no questions on collusion. oh i see...you have a made up phony crime collusion that never existed and an investigation begun with illegally leaked classified information. nice!
207,secret service has just informed me that senator jon tester’s statements on admiral jackson are not true. there were no such findings. a horrible thing that we in d.c. must live with just like phony russian collusion. tester should lose race in montana. very dishonest and sick!
208,house intelligence committee rules that there was no collusion between the trump campaign and russia. as i have been saying all along it is all a big hoax by the democrats based on payments and lies. there should never have been a special counsel appointed. witch hunt!
209,house intelligence committee rules that there was no collusion between the trump campaign and russia. as i have been saying all along it is all a big hoax by the democrats based on payments and lies. there should never have been a special councel appointed. witch hunt!
210,just out: house intelligence committee report released. “no evidence” that the trump campaign “colluded coordinated or conspired with russia.” clinton campaign paid for opposition research obtained from russia- wow! a total witch hunt! must end now!
211,slippery james comey the worst fbi director in history was not fired because of the phony russia investigation where by the way there was no collusion (except by the dems)!
212,russia and china are playing the currency devaluation game as the u.s. keeps raising interest rates. not acceptable!
213,much of the bad blood with russia is caused by the fake &amp; corrupt russia investigation headed up by the all democrat loyalists or people that worked for obama. mueller is most conflicted of all (except rosenstein who signed fisa &amp; comey letter). no collusion so they go crazy!
214,our relationship with russia is worse now than it has ever been and that includes the cold war. there is no reason for this. russia needs us to help with their economy something that would be very easy to do and we need all nations to work together. stop the arms race?
215,russia vows to shoot down any and all missiles fired at syria. get ready russia because they will be coming nice and new and “smart!” you shouldn’t be partners with a gas killing animal who kills his people and enjoys it!
216,....doing things that nobody thought possible despite the never ending and corrupt russia investigation which takes tremendous time and focus. no collusion or obstruction (other than i fight back) so now they do the unthinkable and raid a lawyers office for information! bad!
217,the failing new york times wrote another phony story. it was political pundit doug schoen not a ukrainian businessman who asked me to do a short speech by phone (skype) hosted by doug in ukraine. i was very positive about ukraine-another negative to the fake russia c story!
218,many dead including women and children in mindless chemical attack in syria. area of atrocity is in lockdown and encircled by syrian army making it completely inaccessible to outside world. president putin russia and iran are responsible for backing animal assad. big price...
219,....lawyer or law firm will take months to get up to speed (if for no other reason than they can bill more) which is unfair to our great country - and i am very happy with my existing team. besides there was no collusion with russia except by crooked hillary and the dems!
220,many lawyers and top law firms want to represent me in the russia case...don’t believe the fake news narrative that it is hard to find a lawyer who wants to take this on. fame &amp; fortune will never be turned down by a lawyer though some are conflicted. problem is that a new......
221,house intelligence committee votes to release final report. findings: () no evidence provided of collusion between trump campaign &amp; russia. () the obama administrations post election response was insufficient. () clapper provided inconsistent testimony on media contacts.
222,i called president putin of russia to congratulate him on his election victory (in past obama called him also). the fake news media is crazed because they wanted me to excoriate him. they are wrong! getting along with russia (and others) is a good thing not a bad thing.......
223,as the house intelligence committee has concluded there was no collusion between russia and the trump campaign. as many are now finding out however there was tremendous leaking lying and corruption at the highest levels of the fbi justice &amp; state. #draintheswamp
224,the house intelligence committee has after a month long in-depth investigation found no evidence of collusion or coordination between the trump campaign and russia to influence the presidential election.
225,...have shown conclusively that there was no collusion with russia..just excuse for losing. the only collusion was that done by the dnc the democrats and crooked hillary. the writer of the story maggie haberman a hillary flunky knows nothing about me and is not given access.
226,the failing new york times purposely wrote a false story stating that i am unhappy with my legal team on the russia case and am going to add another lawyer to help out. wrong. i am very happy with my lawyers john dowd ty cobb and jay sekulow. they are doing a great job and.....
227,why did the obama administration start an investigation into the trump campaign (with zero proof of wrongdoing) long before the election in november? wanted to discredit so crooked h would win. unprecedented. bigger than watergate! plus obama did nothing about russian meddling.
228,“russians had no compromising information on donald trump” of course not because there is none and never was. this whole witch hunt is an illegal disgrace...and obama did nothing about russia!
229,question: if all of the russian meddling took place during the obama administration right up to january why aren’t they the subject of the investigation? why didn’t obama do something about the meddling? why aren’t dem crimes under investigation? ask jeff sessions!
230,question: if all of the russian meddling took place during the obama administration right up to january why aren’t they the subject of the investigation? why didn’t obama do something about the meddling? why aren’t dem crimes under investigation? ask jeff session!
231,bad ratings &amp; got scammed when they covered the anti-trump russia rally wall-to-wall. they probably knew it was fake news but because it was a rally against me they pushed it hard anyway. two really dishonest newscasters but the public is wise!
232,i have been much tougher on russia than obama just look at the facts. total fake news!
233,....the president obama quote just before election. that’s because he thought crooked hillary was going to win and he didn’t want to “rock the boat.” when i easily won the electoral college the whole game changed and the russian excuse became the narrative of the dems.
234,thank you to for the great timeline on all of the failures the obama administration had against russia including crimea syria and so much more. we are now starting to win again!
235,obama was president up to and beyond the election. so why didn’t he do something about russian meddling?
236,thank you to kenstarr former independent counsel whitewater for your insight and powerful words on fisa abuse russian meddling etc. really great interview with
237,if it was the goal of russia to create discord disruption and chaos within the u.s. then with all of the committee hearings investigations and party hatred they have succeeded beyond their wildest dreams. they are laughing their asses off in moscow. get smart america!
238,now that adam schiff is starting to blame president obama for russian meddling in the election he is probably doing so as yet another excuse that the democrats lead by their fearless leader crooked hillary clinton lost the election. but wasn’t i a great candidate?
239,i never said russia did not meddle in the election i said “it may be russia or china or another country or group or it may be a pound genius sitting in bed and playing with his computer.” the russian “hoax” was that the trump campaign colluded with russia - it never did!
240,finally liddle’ adam schiff the leakin’ monster of no control is now blaming the obama administration for russian meddling in the election. he is finally right about something. obama was president knew of the threat and did nothing. thank you adam!
241,general mcmaster forgot to say that the results of the election were not impacted or changed by the russians and that the only collusion was between russia and crooked h the dnc and the dems. remember the dirty dossier uranium speeches emails and the podesta company!
242,very sad that the fbi missed all of the many signals sent out by the florida school shooter. this is not acceptable. they are spending too much time trying to prove russian collusion with the trump campaign - there is no collusion. get back to the basics and make us all proud!
243,“i have seen all of the russian ads and i can say very definitively that swaying the election was *not* the main goal.”rob goldmanvice president of facebook ads
244,funny how the fake news media doesn’t want to say that the russian group was formed in long before my run for president. maybe they knew i was going to run even though i didn’t know!
245,“charges deal don a big win” written by michael goodwin of the succinctly states that “the russians had no impact on the election results.” there was no collusion with the trump campaign. “she lost the old-fashioned way by being a terrible candidate. case closed.”
246,russia started their anti-us campaign in long before i announced that i would run for president. the results of the election were not impacted. the trump campaign did nothing wrong - no collusion!
247,according to the a russian sold phony secrets on “trump” to the u.s. asking price was $ million brought down to $ million to be paid over time. i hope people are now seeing &amp; understanding what is going on here. it is all now starting to come out - drain the swamp!
248,wow! -senator mark warner got caught having extensive contact with a lobbyist for a russian oligarch. warner did not want a “paper trail” on a “private” meeting (in london) he requested with steele of fraudulent dossier fame. all tied into crooked hillary.
249,great jobs numbers and finally after many years rising wages- and nobody even talks about them. only russia russia russia despite the fact that after a year of looking there is no collusion!
250,this memo totally vindicates “trump” in probe. but the russian witch hunt goes on and on. their was no collusion and there was no obstruction (the word now used because after one year of looking endlessly and finding nothing collusion is dead). this is an american disgrace!
251,do you notice the fake news mainstream media never likes covering the great and record setting economic news but rather talks about anything negative or that can be turned into the negative. the russian collusion hoax is dead except as it pertains to the dems. public gets it!
252,disproven and paid for by democrats “dossier used to spy on trump campaign. did fbi use intel tool to influence the election?” did dems or clinton also pay russians? where are hidden and smashed dnc servers? where are crooked hillary emails? what a mess!
253,the single greatest witch hunt in american history continues. there was no collusion everybody including the dems knows there was no collusion &amp; yet on and on it goes. russia &amp; the world is laughing at the stupidity they are witnessing. republicans should finally take control!
254,the fact that sneaky dianne feinstein who has on numerous occasions stated that collusion between trump/russia has not been found would release testimony in such an underhanded and possibly illegal way totally without authorization is a disgrace. must have tough primary!
255,now that russian collusion after one year of intense study has proven to be a total hoax on the american public the democrats and their lapdogs the fake news mainstream media are taking out the old ronald reagan playbook and screaming mental stability and intelligence.....
256,well now that collusion with russia is proving to be a total hoax and the only collusion is with hillary clinton and the fbi/russia the fake news media (mainstream) and this phony new book are hitting out at every new front imaginable. they should try winning an election. sad!
257,while the fake news loves to talk about my so-called low approval rating just showed that my rating on dec. was approximately the same as president obama on dec. which was %...and this despite massive negative trump coverage &amp; russia hoax!
258,wow “dossier is bogus. clinton campaign dnc funded dossier. fbi cannot (after all of this time) verify claims in dossier of russia/trump collusion. fbi tainted.” and they used this crooked hillary pile of garbage as the basis for going after the trump campaign!
259,despite thousands of hours wasted and many millions of dollars spent the democrats have been unable to show any collusion with russia - so now they are moving on to the false accusations and fabricated stories of women who i don’t know and/or have never met. fake news!
260,congratulations to news for suspending brian ross for his horrendously inaccurate and dishonest report on the russia russia russia witch hunt. more networks and “papers” should do the same with their fake news!
261,the chinese envoy who just returned from north korea seems to have had no impact on little rocket man. hard to believe his people and the military put up with living in such horrible conditions. russia and china condemned the launch.
262,since the first day i took office all you hear is the phony democrat excuse for losing the election russia russiarussia. despite this i have the economy booming and have possibly done more than any month president. make america great again!
263,does the fake news media remember when crooked hillary clinton as secretary of state was begging russia to be our friend with the misspelled reset button? obama tried also but he had zero chemistry with putin.
264,when will all the haters and fools out there realize that having a good relationship with russia is a good thing not a bad thing. there always playing politics - bad for our country. i want to solve north korea syria ukraine terrorism and russia can greatly help!
265,met with president putin of russia who was at #apec meetings. good discussions on syria. hope for his help to solve along with china the dangerous north korea crisis. progress being made.
266,"all of this ""russia"" talk right when the republicans are making their big push for historic tax cuts &amp; reform. is this coincidental? not!"
267,...the uranium to russia deal the plus deleted emails the comey fix and so much more. instead they look at phony trump/russia....
268,“what happened”“how team hillary played the press for fools on russia”➡️ we know!
269,.@foxnews chris wallace: “more evidence of dem collusion with russia than gop”
270,it is now commonly agreed after many months of costly looking that there was no collusion between russia and trump. was collusion with hc!
271,".@foxandfriends ""russia sent millions to clinton foundation"""
272,workers of firm involved with the discredited and fake dossier take the . who paid for it russia the fbi or the dems (or all)?
273,uranium deal to russia with clinton help and obama administration knowledge is the biggest story that fake media doesn't want to follow!
274,the russia hoax continues now it's ads on facebook. what about the totally biased and dishonest media coverage in favor of crooked hillary?
275,according to report just out president obama knew about russian interference years ago but he didn't want to anger russia!
276,interesting to watch senator richard blumenthal of connecticut talking about hoax russian collusion when he was a phony vietnam con artist!
277,...and west virginia. the fact is the fake news russian collusion story record stock market border security military strength jobs.....
278,the united nations security council just voted - to sanction north korea. china and russia voted with us. very big financial impact!
279,our relationship with russia is at an all-time &amp; very dangerous low. you can thank congress the same people that can't even give us hcare!
280,in other words russia was against trump in the election - and why not i want strong military &amp; low oil prices. witch hunt!
281,"one of the things that has been lost in the politics of this situation is that the russians collected and spread negative information.....jared kushner did very well yesterday in proving he did not collude with the russians. witch hunt. next up year old barron trump!sleazy adam schiff the totally biased congressman looking into russia"" spends all of his time on television pushing the dem loss excuse!"
282,so why aren't the committees and investigators and of course our beleaguered a.g. looking into crooked hillarys crimes &amp; russia relations?
283,"after year of investigation with zero evidence being found chuck schumer just stated that ""democrats should blame ourselvesnot russia."""
284,as the phony russian witch hunt continues two groups are laughing at this excuse for a lost election taking hold democrats and russians!
285,...what about all of the clinton ties to russia including podesta company uranium deal russian reset big dollar speeches etc.
286,thank you to former campaign adviser michael caputo for saying so powerfully that there was no russian collusion in our winning campaign.
287,stock market hit another all-time high yesterday - despite the russian hoax story! also jobs numbers are starting to look very good!
288,...we negotiated a ceasefire in parts of syria which will save lives. now it is time to move forward in working constructively with russia!
289,i strongly pressed president putin twice about russian meddling in our election. he vehemently denied it. i've already given my opinion.....
290,fake news cnn is looking at big management changes now that they got caught falsely pushing their phony russian stories. ratings way down!
291,"wow cnn had to retract big story on ""russia"" with employees forced to resign. what about all the other phony stories they do? fake news!"
292,the real story is that president obama did nothing after being informed in august about russian meddling. with months looking at russia...
293,the reason that president obama did nothing about russia after being notified by the cia of meddling is that he expected clinton would win..
294,"obama administration official said they ""choked"" when it came to acting on russian meddling of election. they didn't want to hurt hillary?"
295,since the obama administration was told way before the election that the russians were meddling why no action? focus on them not t!
296,just out: the obama administration knew far in advance of november about election meddling by russia. did nothing about it. why?
297,by the way if russia was working so hard on the election it all took place during the obama admin. why didn't they stop them?
298,former homeland security advisor jeh johnson is latest top intelligence official to state there was no grand scheme between trump &amp; russia.
299,"after months of investigations &amp; committee hearings about my ""collusion with the russians"" nobody has been able to show any proof. sad!"
300,why is that hillary clintons family and dems dealings with russia are not looked at but my non-dealings are?
301,they made up a phony collusion with the russians story found zero proof so now they go for obstruction of justice on the phony story. nice
302,so now it is reported that the democrats who have excoriated carter page about russia don't want him to testify. he blows away their....
303,russian officials must be laughing at the u.s. &amp; how a lame excuse for why the dems lost the election has taken over the fake news.
304,...to terrorism and airline flight safety. humanitarian reasons plus i want russia to greatly step up their fight against isis &amp; terrorism.
305,as president i wanted to share with russia (at an openly scheduled w.h. meeting) which i have the absolute right to do facts pertaining....
306,again the story that there was collusion between the russians &amp; trump campaign was fabricated by dems as an excuse for losing the election.
307,yesterday on the same day- i had meetings with russian foreign minister sergei lavrov and the fm of ukraine pavlo…
308,russia must be laughing up their sleeves watching as the u.s. tears itself apart over a democrat excuse for losing the election.
309,the russia-trump collusion story is a total hoax when will this taxpayer funded charade end?
310,"director clapper reiterated what everybody including the fake media already knows- there is ""no evidence"" of collusion w/ russia and trump."
311,when will the fake media ask about the dems dealings with russia &amp; why the dnc wouldn't allow the fbi to check their server or investigate?
312,...trump/russia story was an excuse used by the democrats as justification for losing the election. perhaps trump just ran a great campaign?
313,things will work out fine between the u.s.a. and russia. at the right time everyone will come to their senses &amp; there will be lasting peace!
314,was the brother of john podesta paid big money to get the sanctions on russia lifted? did hillary know?
315,"..not associated with russia. trump team spied on before he was nominated."" if this is true does not get much bigger. would be sad for u.s."
316,"it is the same fake news media that said there is ""no path to victory for trump"" that is now pushing the phony russia story. a total scam!"
317,when will sleepy eyes chuck todd and start talking about the obama surveillance scandal and stop with the fake trump/russia story?
318,why doesn't fake news talk about podesta ties to russia as covered by or money from russia to clinton - sale of uranium?
319,watch now on podesta and russia!
320,"...money to bill the hillary russian ""reset"" praise of russia by hillary or podesta russian company. trump russia story is a hoax. #maga!"
321,why isn't the house intelligence committee looking into the bill &amp; hillary deal that allowed big uranium to go to russia russian speech....
322,just watched the totally biased and fake news reports of the so-called russia story on nbc and abc. such dishonesty!
323,what about all of the contact with the clinton campaign and the russians? also is it true that the dnc would not let the fbi in to look?
324,the democrats made up and pushed the russian story as an excuse for running a terrible campaign. big advantage in electoral college &amp; lost!
325,james clapper and others stated that there is no evidence potus colluded with russia. this story is fake news and everyone knows it!
326,"for eight years russia ""ran over"" president obama got stronger and stronger picked-off crimea and added missiles. weak!"
327,"who was it that secretly said to russian president ""tell vladimir that after the election i'll have more flexibility?"""
328,just out: the same russian ambassador that met jeff sessions visited the obama white house times and times last year alone.
329,the first meeting jeff sessions had with the russian amb was set up by the obama administration under education program for ambs......
330,i hereby demand a second investigation after schumer of pelosi for her close ties to russia and lying about it.
331,i hearby demand a second investigation after schumer of pelosi for her close ties to russia and lying about it.
332,i hear by demand a second investigation after schumer of pelosi for her close ties to russia and lying about it.
333,we should start an immediate investigation into and his ties to russia and putin. a total hypocrite!
334,russia talk is fake news put out by the dems and played up by the media in order to mask the big election defeat and the illegal leaks!
335,the democrats had to come up with a story as to why they lost the election and so badly () so they made up a story - russia. fake news!
336,crimea was taken by russia during the obama administration. was obama too soft on russia?
337,information is being illegally given to the failing &amp; by the intelligence community (nsa and fbi?).just like russia
338,this russian connection non-sense is merely an attempt to cover-up the many mistakes made in hillary clinton's losing campaign.
339,i don't know putin have no deals in russia and the haters are going crazy - yet obama can make a deal with iran # in terror no problem!
340,i don't know putin have no deals in russia and the haters are going crazy - yet obama can make a deal with iran # terror no problem!
